127.0.0.1 - - [13/Jun/2021:15:35:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:35:16 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:35:16 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:35:16 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:35:16 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:34 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1796
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:35 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:35 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:35 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:35 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:36 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:36 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:36 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:36 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:37 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:37 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:37 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:37 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:38 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:38 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:38 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:38 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:38 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:39 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:39 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:39 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:39 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:39 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:40 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:40 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:40 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:40 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:37:42 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:10 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:10 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:11 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:11 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:11 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:11 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:11 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:12 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:12 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:12 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:12 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:12 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:12 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:40:13 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:00 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:02 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:02 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:02 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:02 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:03 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:03 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:03 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:03 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:03 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/layercake.html HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/images/background.png HTTP/1.1" 200 15185
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Catalina_Avalon_Sans_Bold.ttf HTTP/1.1" 200 323604
0:0:0:0:0:0:0:1 - - [13/Jun/2021:15:41:07 +0900] "GET /Lecture-Web/assignment/font/Mike%20Samiya.ttf HTTP/1.1" 200 63884
